index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
105,420543974,0,,158000.0;537.0;0.45;1.46
106,420541929,0,,544000.0;1464.0;0.46;1.2
107,420543149,0,,190000.0;559.0;0.47;1.43
108,420542937,0,,230000.0;583.0;0.44;1.42
109,420543150,0,,79000.0;280.0;0.45;1.66
110,420542739,0,,99000.0;233.0;0.45;1.63
111,420540921,0,,236000.0;421.0;0.45;1.42
112,420541324,0,,184000.0;326.0;0.46;1.43
113,420542545,0,,59000.0;304.0;0.45;1.69
114,420542130,0,,164000.0;443.0;0.45;1.46
115,420541531,0,,92000.0;117.0;0.46;1.65
116,420538809,0,,92000.0;442.0;0.46;1.63
117,420539024,0,,53000.0;117.0;0.45;1.69
118,420538384,0,,73000.0;280.0;0.46;1.69
119,420537774,0,,164000.0;395.0;0.46;1.44
120,420537159,0,,308000.0;559.0;0.46;1.23
121,420537158,0,,131000.0;559.0;0.46;1.52
122,420534928,0,,662000.0;1302.0;0.46;1.2
123,420536363,0,,151000.0;350.0;0.46;1.48
124,420536553,0,,112000.0;302.0;0.46;1.63
125,420535137,0,,210000.0;535.0;0.46;1.43
126,420534720,0,,99000.0;210.0;0.45;1.65
127,420535534,0,,118000.0;326.0;0.46;1.54
128,420534113,0,,144000.0;395.0;0.46;1.48
129,420534520,0,,27000.0;117.0;0.46;1.69
130,420542131,0,,79000.0;117.0;0.46;1.65
131,420542936,0,,59000.0;117.0;0.46;1.69
132,420543347,0,,446000.0;863.0;0.47;1.22
133,420543971,0,,131000.0;466.0;0.47;1.51
134,420543972,0,,262000.0;466.0;0.47;1.42
135,420541321,0,,269000.0;725.0;0.46;1.43
136,420542934,0,,138000.0;419.0;0.45;1.52
137,420543346,0,,73000.0;117.0;0.46;1.7
138,420542129,0,,138000.0;419.0;0.45;1.53
139,420541530,0,,33000.0;233.0;0.45;1.68
140,420541320,0,,190000.0;562.0;0.45;1.41
141,420540506,0,,413000.0;937.0;0.46;1.18
142,420540715,0,,105000.0;326.0;0.45;1.62
143,420540076,0,,105000.0;213.0;0.45;1.61
144,420539881,0,,79000.0;117.0;0.45;1.64
145,420536148,0,,347000.0;982.0;0.46;1.21
146,420534719,0,,321000.0;696.0;0.46;1.25
147,420535531,0,,243000.0;679.0;0.45;1.42
148,420534926,0,,131000.0;210.0;0.45;1.54
149,420537156,0,,289000.0;491.0;0.45;1.22
150,420537773,0,,190000.0;442.0;0.45;1.4
151,420538573,0,,210000.0;583.0;0.45;1.4
152,420539247,0,,328000.0;188.0;0.45;1.19
153,420539248,0,,73000.0;210.0;0.45;1.68
